dataset,model,seed,data_ratio,train_size,hyperparams,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,per_class_f1,train_time,inference_time,throughput,model_size_mb
imdb,tfidf_lr,456,1.0,35020,"{""model_type"": ""lr"", ""C"": 0.1, ""max_features"": 10000, ""ngram_range"": [1, 1]}",0.8731283422459893,0.8730329758287555,0.8764,0.8763498782857742,"[0.8738603891685943, 0.8788393674029539]",6.025964021682739,0.9589507579803467,7821.048096146048,0.1
imdb,tfidf_lr,42,0.5,17510,"{""model_type"": ""lr"", ""C"": 0.1, ""max_features"": 10000, ""ngram_range"": [1, 1]}",0.8620320855614974,0.8618702910326488,0.8642666666666666,0.8641661713668908,"[0.8604714912280702, 0.8678608515057114]",3.2078590393066406,0.765883207321167,9792.615803958912,0.1
imdb,tfidf_lr,123,0.5,17510,"{""model_type"": ""lr"", ""C"": 0.1, ""max_features"": 10000, ""ngram_range"": [1, 1]}",0.8637700534759358,0.8636237455912579,0.866,0.8659055951550887,"[0.8623476236132037, 0.8694635666969737]",3.3414502143859863,0.747877836227417,10028.375807782833,0.1
imdb,tfidf_lr,456,0.5,17510,"{""model_type"": ""lr"", ""C"": 0.1, ""max_features"": 10000, ""ngram_range"": [1, 1]}",0.8620320855614974,0.8618946081188658,0.8626666666666667,0.8625839580886231,"[0.859212684527064, 0.8659552316501822]",3.8364460468292236,0.7705838680267334,9732.879588052585,0.1
imdb,tfidf_lr,42,0.25,8755,"{""model_type"": ""lr"", ""C"": 0.1, ""max_features"": 10000, ""ngram_range"": [1, 1]}",0.8466577540106952,0.8463853267187307,0.8522666666666666,0.8520777890688369,"[0.8467920353982301, 0.8573635427394438]",2.0450382232666016,0.8750691413879395,8570.751321551936,0.1
imdb,tfidf_lr,123,0.25,8755,"{""model_type"": ""lr"", ""C"": 0.1, ""max_features"": 10000, ""ngram_range"": [1, 1]}",0.8517379679144385,0.8515544512611041,0.8556,0.8554745107658723,"[0.8512158263497733, 0.8597331951819712]",2.279160976409912,0.7345428466796875,10210.432289827375,0.1
imdb,tfidf_lr,456,0.25,8755,"{""model_type"": ""lr"", ""C"": 0.1, ""max_features"": 10000, ""ngram_range"": [1, 1]}",0.8485294117647059,0.8483303287854302,0.8532,0.8530482648225628,"[0.8483262157321945, 0.8577703139129311]",2.0341691970825195,0.7527718544006348,9963.17802818436,0.1
imdb,tfidf_lr,42,0.1,3502,"{""model_type"": ""lr"", ""C"": 0.1, ""max_features"": 10000, ""ngram_range"": [1, 1]}",0.8331550802139037,0.8327762935804428,0.8381333333333333,0.837866956669646,"[0.8312951639799889, 0.844438749359303]",1.4748427867889404,0.7565360069274902,9913.606135495984,0.1
imdb,tfidf_lr,123,0.1,3502,"{""model_type"": ""lr"", ""C"": 0.1, ""max_features"": 10000, ""ngram_range"": [1, 1]}",0.8338235294117647,0.8333445630250901,0.8384,0.8380827169670217,"[0.8309151785714286, 0.8452502553626149]",1.4706768989562988,0.7525010108947754,9966.76401946887,0.1
imdb,tfidf_lr,456,0.1,3502,"{""model_type"": ""lr"", ""C"": 0.1, ""max_features"": 10000, ""ngram_range"": [1, 1]}",0.8288770053475936,0.828448125661748,0.8382666666666667,0.8379808649123721,"[0.8311760612386917, 0.8447856685860524]",1.4662399291992188,0.7579419612884521,9895.216762046644,0.1
imdb,tfidf_lr,42,0.05,1751,"{""model_type"": ""lr"", ""C"": 0.1, ""max_features"": 10000, ""ngram_range"": [1, 1]}",0.8302139037433155,0.8299329957916133,0.8318666666666666,0.8316403164254164,"[0.8254671280276816, 0.8378135048231511]",1.256330966949463,0.94569993019104,7930.633978671153,0.1
imdb,tfidf_lr,123,0.05,1751,"{""model_type"": ""lr"", ""C"": 0.1, ""max_features"": 10000, ""ngram_range"": [1, 1]}",0.8233957219251337,0.8227740926411022,0.8248,0.8243490845833572,"[0.8154494382022472, 0.833248730964467]",1.4266400337219238,0.7769498825073242,9653.13229187508,0.1
imdb,tfidf_lr,456,0.05,1751,"{""model_type"": ""lr"", ""C"": 0.1, ""max_features"": 10000, ""ngram_range"": [1, 1]}",0.8200534759358289,0.8195528200257642,0.8274666666666667,0.8270682318729019,"[0.8187675070028011, 0.8353689567430026]",1.307305097579956,0.8066248893737793,9298.002204993452,0.1
imdb,tfidf_lr,42,0.01,350,"{""model_type"": ""lr"", ""C"": 0.1, ""max_features"": 10000, ""ngram_range"": [1, 1]}",0.8009358288770053,0.8007891046035704,0.7994666666666667,0.7993659965490951,"[0.7948717948717948, 0.8038601982263954]",0.08885002136230469,0.7585248947143555,9887.612196069507,0.1
imdb,tfidf_lr,123,0.01,350,"{""model_type"": ""lr"", ""C"": 0.1, ""max_features"": 10000, ""ngram_range"": [1, 1]}",0.8009358288770053,0.8003271110663638,0.8042666666666667,0.8039185794430019,"[0.7956570155902004, 0.8121801432958035]",0.07486081123352051,0.7692389488220215,9749.896324783305,0.1
imdb,tfidf_lr,456,0.01,350,"{""model_type"": ""lr"", ""C"": 0.1, ""max_features"": 10000, ""ngram_range"": [1, 1]}",0.7975935828877005,0.7971695669956619,0.8090666666666667,0.8088188959558255,"[0.8019363762102352, 0.8157014157014157]",0.06502199172973633,0.7412848472595215,10117.568203001827,0.1
imdb,tfidf_svm,42,1.0,35020,"{""model_type"": ""svm"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.8983957219251337,0.8983887408547544,0.9050666666666667,0.905064479352271,"[0.9046087888531619, 0.9055201698513801]",20.31890106201172,1.3852269649505615,5414.275198048627,0.1
imdb,tfidf_svm,123,1.0,35020,"{""model_type"": ""svm"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.8983957219251337,0.8983887408547544,0.9050666666666667,0.905064479352271,"[0.9046087888531619, 0.9055201698513801]",16.050610065460205,1.4411036968231201,5204.344431655804,0.1
imdb,tfidf_svm,456,1.0,35020,"{""model_type"": ""svm"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.8983957219251337,0.8983887408547544,0.9050666666666667,0.905064479352271,"[0.9046087888531619, 0.9055201698513801]",15.647406101226807,1.3561680316925049,5530.288153629429,0.1
